GEO_ID,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include
1400000US36061019800,16.0,51.6,76894.0,787.0,61.4,1629.0,40.3,2852.0,17.6,15.6,10.2,11.6,1
1400000US36061019900,4.200000000000003,77.6,83764.0,2171.0,70.6,1821.0,51.2,8724.0,13.0,60.1,3.3,15.7,1
1400000US36061020000,12.700000000000003,46.1,71016.0,1025.0,77.7,1254.0,45.4,3656.0,21.1,19.6,9.1,1.8,1
1400000US36061020101,0.0,94.8,145417.0,196.0,72.3,2325.0,42.2,1803.0,10.3,57.8,7.5,14.3,0
1400000US36061020102,12.400000000000006,51.9,74703.0,1402.0,79.0,1357.0,34.9,4441.0,16.0,25.6,7.2,5.0,1
1400000US36061020300,4.599999999999994,75.2,34792.0,314.0,91.3,1678.0,59.4,3423.0,16.0,49.5,3.4,18.6,0
1400000US36061020500,1.9000000000000057,87.8,117625.0,917.0,81.5,2020.0,33.8,4950.0,8.6,65.2,2.7,13.7,1
1400000US36061020600,18.299999999999997,27.0,40078.0,1377.0,87.5,1066.0,46.2,3664.0,23.0,15.0,7.9,3.6,1
1400000US36061020701,1.5999999999999943,80.7,61641.0,1152.0,96.9,1853.0,49.3,3036.0,16.4,45.2,5.1,24.4,1
1400000US36061020800,13.0,51.4,79519.0,1811.0,79.7,1245.0,37.5,5580.0,16.3,13.4,6.7,2.3,1
1400000US36061020901,22.900000000000006,21.7,30405.0,1461.0,95.5,881.0,39.7,3510.0,45.5,6.4,9.8,5.1,1
1400000US36061021000,18.5,27.5,31461.0,2951.0,93.4,1002.0,33.5,7581.0,23.5,1.9,4.5,2.2,1
1400000US36061021100,8.0,66.2,40300.0,3042.0,73.7,1245.0,48.8,10240.0,26.1,34.4,5.1,22.0,1
1400000US36061021200,11.099999999999994,54.5,58933.0,2470.0,96.9,1414.0,42.7,4324.0,14.3,8.4,5.7,4.7,1
1400000US36061021303,17.200000000000003,40.8,46625.0,2261.0,96.9,1292.0,48.2,6001.0,22.4,14.1,7.6,7.0,1
1400000US36061021400,5.5,44.9,58884.0,1943.0,98.3,1306.0,37.1,3596.0,13.9,7.1,8.7,2.6,1
1400000US36061021500,18.900000000000006,28.8,42832.0,1627.0,98.0,1297.0,45.7,4469.0,27.3,12.8,7.7,2.1,1
1400000US36061021600,18.099999999999994,50.7,61250.0,3104.0,87.6,1358.0,35.6,8503.0,17.7,24.3,6.2,5.3,1
1400000US36061021703,0.0,50.0,,0.0,0.0,,,8.0,0.0,100.0,100.0,0.0,0
1400000US36061021800,17.200000000000003,42.5,50608.0,2841.0,95.5,1231.0,38.6,6865.0,20.3,16.4,5.8,2.7,1
1400000US36061021900,24.200000000000003,14.2,16923.0,2101.0,96.1,560.0,51.3,6220.0,54.7,6.6,8.2,2.7,1
1400000US36061022000,16.299999999999997,46.2,66578.0,2294.0,90.6,1228.0,29.0,6026.0,17.5,21.5,7.9,5.9,1
