GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36047012901,"Census Tract 129.01, Kings County, New York",36047012901,2641,0.39056347602423325,0.2,0.1502086230876217,0.20647431386347648,4.46,0.10293237582286056,5.0,74.6,116250.0,719.0,66.5,2318.0,31.5,2641.0,23.0,63.4,3.1,3.0,1,5,1,1.0,4,2,1,14.0,2
1400000US36047012902,"Census Tract 129.02, Kings County, New York",36047012902,2390,0.0,0.17,0.18235294117647058,0.013498098859315188,5.36,0.0860377358490566,7.299999999999998,78.8,113977.0,680.0,74.2,2320.0,32.6,2390.0,20.1,60.6,5.2,5.7,1,1,1,1.0,2,2,1,8.0,1
1400000US36047013000,"Census Tract 130, Kings County, New York",36047013000,5028,0.10290666282020677,0.33,0.31408227848101267,0.07917647058823529,7.61,0.13507326007326007,24.599999999999994,37.4,71719.0,1264.0,74.8,1405.0,47.0,5028.0,26.3,44.7,2.7,21.8,1,2,4,3.0,2,4,2,17.0,3
1400000US36047013100,"Census Tract 131, Kings County, New York",36047013100,4226,0.24050208096308556,0.14,0.13391304347826086,0.09058767319636885,3.86,0.1274131274131274,8.099999999999994,74.7,136607.0,1150.0,63.1,2283.0,22.6,4226.0,18.7,58.9,2.8,8.3,1,4,1,1.0,3,2,2,13.0,1
1400000US36047013200,"Census Tract 132, Kings County, New York",36047013200,2200,0.13032704904545456,0.45,0.44611528822055135,-0.06603260869565197,4.83,0.17926565874730022,29.700000000000006,27.4,52989.0,399.0,58.6,1343.0,51.9,2200.0,20.1,28.7,1.5,50.9,0,,,,,,,,0
1400000US36047013300,"Census Tract 133, Kings County, New York",36047013300,4408,0.2156100782781306,0.14,0.1824561403508772,0.12478399272396545,4.97,0.048590504451038574,3.5,82.3,165982.0,1140.0,62.4,2307.0,22.7,4408.0,11.8,67.9,2.6,9.6,1,3,1,1.0,3,2,1,11.0,1
1400000US36047013400,"Census Tract 134, Kings County, New York",36047013400,3976,0.3564753450352113,0.22,0.24342105263157895,0.12409867172675526,9.13,0.11764705882352941,14.599999999999996,51.2,79479.0,760.0,50.8,1590.0,33.7,3976.0,15.4,63.4,1.2,17.1,1,5,2,2.0,3,4,2,18.0,3
1400000US36047013500,"Census Tract 135, Kings County, New York",36047013500,3920,0.24752204281887746,0.25,0.21139430284857572,-0.005086705202312025,3.74,0.08136846971798428,4.799999999999997,84.2,145417.0,667.0,44.9,2585.0,43.8,3920.0,6.4,73.0,1.0,11.6,1,4,2,2.0,1,1,1,11.0,1
1400000US36047013600,"Census Tract 136, Kings County, New York",36047013600,3888,0.28277816805555567,0.29,0.2808683853459973,0.15575109993714642,7.33,0.16289825282631037,13.599999999999996,54.9,83309.0,737.0,54.2,1657.0,39.3,3888.0,10.9,71.3,0.5,15.9,1,4,3,2.0,3,3,3,18.0,3
1400000US36047013700,"Census Tract 137, Kings County, New York",36047013700,3512,0.0,0.19,0.2288512911843277,-0.004002668445630464,6.28,0.07493403693931398,9.599999999999994,65.6,111947.0,1123.0,75.0,2033.0,33.5,3512.0,16.8,60.4,2.6,8.3,1,1,1,2.0,2,3,1,10.0,1
1400000US36047013800,"Census Tract 138, Kings County, New York",36047013800,3083,0.16721961822899767,0.25,0.30052910052910053,0.04663299663299669,4.74,0.16175507531106745,20.400000000000006,45.8,65238.0,945.0,77.6,1516.0,33.0,3083.0,18.0,60.4,2.7,13.8,1,3,2,3.0,2,2,3,15.0,2
